Title	URL	HasUniqueRoleAssignments	User/Group	Roles
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	SPS2013\administrator	Full Control,Limited Access,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	Excel Services Viewers	View Only,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	TOM v2 Owners	Full Control,Limited Access,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	TOM v2 Visitors	Read,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	TOM v2 Members	Edit,Limited Access,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	TOM Administrators	Full Control,Limited Access,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	TOM Owners	Full Control,Limited Access,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	TOM Members	Contribute,Limited Access,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	TOM Visitors	Read,Limited Access,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	TOM Viewers	Read,Limited Access,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	Style Resource Readers	Limited Access,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	Designers	Design,Limited Access,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	Hierarchy Managers	Manage Hierarchy,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	Approvers	Approve,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	Restricted Readers	Restricted Read,
Document Generation	http://sps2013/sites/tomv2/Lists/DocumentGeneration	False	Translation Managers	Restricted Interfaces for Translation,
DocumentFolderMapping	http://sps2013/sites/tomv2/Lists/DocumentFolderMapping	True	SPS2013\administrator	Full Control,
DocumentFolderMapping	http://sps2013/sites/tomv2/Lists/DocumentFolderMapping	True	TOM v2 Owners	Full Control,
DocumentFolderMapping	http://sps2013/sites/tomv2/Lists/DocumentFolderMapping	True	TOM v2 Visitors	Read,
DocumentFolderMapping	http://sps2013/sites/tomv2/Lists/DocumentFolderMapping	True	TOM v2 Members	Edit,
DocumentFolderMapping	http://sps2013/sites/tomv2/Lists/DocumentFolderMapping	True	TOM Administrators	Full Control,
DocumentFolderMapping	http://sps2013/sites/tomv2/Lists/DocumentFolderMapping	True	TOM Owners	Full Control,
DocumentFolderMapping	http://sps2013/sites/tomv2/Lists/DocumentFolderMapping	True	TOM Members	Read,
DocumentFolderMapping	http://sps2013/sites/tomv2/Lists/DocumentFolderMapping	True	TOM Visitors	Read,
DocumentFolderMapping	http://sps2013/sites/tomv2/Lists/DocumentFolderMapping	True	TOM Viewers	Read,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	SPS2013\administrator	Full Control,Limited Access,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	Excel Services Viewers	View Only,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	TOM v2 Owners	Full Control,Limited Access,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	TOM v2 Visitors	Read,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	TOM v2 Members	Edit,Limited Access,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	TOM Administrators	Full Control,Limited Access,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	TOM Owners	Full Control,Limited Access,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	TOM Members	Contribute,Limited Access,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	TOM Visitors	Read,Limited Access,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	TOM Viewers	Read,Limited Access,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	Style Resource Readers	Limited Access,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	Designers	Design,Limited Access,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	Hierarchy Managers	Manage Hierarchy,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	Approvers	Approve,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	Restricted Readers	Restricted Read,
Documents	http://sps2013/sites/tomv2/Shared Documents	False	Translation Managers	Restricted Interfaces for Translation,
EditableFieldSettings	http://sps2013/sites/tomv2/Lists/EditableFieldSettings	True	SPS2013\administrator	Full Control,
EditableFieldSettings	http://sps2013/sites/tomv2/Lists/EditableFieldSettings	True	TOM v2 Owners	Full Control,
EditableFieldSettings	http://sps2013/sites/tomv2/Lists/EditableFieldSettings	True	TOM v2 Visitors	Read,
EditableFieldSettings	http://sps2013/sites/tomv2/Lists/EditableFieldSettings	True	TOM v2 Members	Edit,
EditableFieldSettings	http://sps2013/sites/tomv2/Lists/EditableFieldSettings	True	TOM Administrators	Full Control,
EditableFieldSettings	http://sps2013/sites/tomv2/Lists/EditableFieldSettings	True	TOM Owners	Full Control,
EditableFieldSettings	http://sps2013/sites/tomv2/Lists/EditableFieldSettings	True	TOM Members	Read,
EditableFieldSettings	http://sps2013/sites/tomv2/Lists/EditableFieldSettings	True	TOM Visitors	Read,
EditableFieldSettings	http://sps2013/sites/tomv2/Lists/EditableFieldSettings	True	TOM Viewers	Read,
ExchangeRate	http://sps2013/sites/tomv2/Lists/ExchangeRate	True	SPS2013\administrator	Full Control,
ExchangeRate	http://sps2013/sites/tomv2/Lists/ExchangeRate	True	TOM v2 Owners	Full Control,
ExchangeRate	http://sps2013/sites/tomv2/Lists/ExchangeRate	True	TOM v2 Visitors	Read,
ExchangeRate	http://sps2013/sites/tomv2/Lists/ExchangeRate	True	TOM v2 Members	Edit,
ExchangeRate	http://sps2013/sites/tomv2/Lists/ExchangeRate	True	TOM Administrators	Full Control,
ExchangeRate	http://sps2013/sites/tomv2/Lists/ExchangeRate	True	TOM Owners	Full Control,
ExchangeRate	http://sps2013/sites/tomv2/Lists/ExchangeRate	True	TOM Members	Read,
ExchangeRate	http://sps2013/sites/tomv2/Lists/ExchangeRate	True	TOM Visitors	Read,
